OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,COLLECTIONHOURS1,COLLECTIONHOURS2,COLLECTIONHOURS3,COLLECTIONHOURS4,COLLECTIONHOURS5,COLLECTIONHOURS6,COLLECTIONHOURS7,LATITUDE,LONGITUDE
7859200004,USPS COLLECTION BOX - BLUE BOX,11175 MILITARY RD,SANTA MARIA,TX,78592,MO 11:45 AM,TU 11:45 AM,WE 11:45 AM,TH 11:45 AM,FR 11:45 AM,SA 10:15 AM,,26.078034507,-97.844179532
7859200005,USPS COLLECTION BOX - PO LOBBY,11175 MILITARY RD,SANTA MARIA,TX,78592,MO 12:00 PM,TU 12:00 PM,WE 12:00 PM,TH 12:00 PM,FR 12:00 PM,SA 10:30 AM,,26.078034507,-97.844179532
9110700017,USPS COLLECTION BOX - BLUE BOX,429 N HALSTEAD ST,PASADENA,CA,91107,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,34.153694693,-118.079706505
9103000064,USPS COLLECTION BOX - BLUE BOX,1601 VIA DEL REY,SOUTH PASADENA,CA,91030,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,34.1046534327,-118.1641011386
9103000033,USPS COLLECTION BOX - BLUE BOX,1499 HUNTINGTON DR,SOUTH PASADENA,CA,91030,MO 03:00 PM,TU 03:00 PM,WE 03:00 PM,TH 03:00 PM,FR 03:00 PM,SA 03:00 PM,,34.1040495465,-118.1504655
1000700046,USPS COLLECTION BOX - BLUE BOX,84 W BROADWAY,NEW YORK,NY,10007,MO 03:00 PM,TU 03:00 PM,WE 03:00 PM,TH 03:00 PM,FR 03:00 PM,SA 01:00 PM,,40.715180664,-74.009522252
1001300063,USPS COLLECTION BOX - BLUE BOX,128 W BROADWAY,NEW  YORK,NY,10013,MO 02:00 PM,TU 02:00 PM,WE 02:00 PM,TH 02:00 PM,FR 02:00 PM,SA 01:15 PM,,40.7165742155,-74.0084693167
1001300064,USPS COLLECTION BOX - BLUE BOX,229 W BROADWAY,NEW  YORK,NY,10013,MO 02:00 PM,TU 02:00 PM,WE 02:00 PM,TH 02:00 PM,FR 02:00 PM,SA 01:15 PM,,40.719303,-74.006037
0682000037,USPS COLLECTION BOX - PO LOBBY,264A HEIGHTS RD,DARIEN,CT,06820,MO 05:00 PM,TU 05:00 PM,WE 05:00 PM,TH 05:00 PM,FR 05:00 PM,SA 05:00 PM,,41.06928531,-73.4966428509
0682000038,USPS COLLECTION BOX - PO LOBBY,264A HEIGHTS RD,DARIEN,CT,06820,MO 05:00 PM,TU 05:00 PM,WE 05:00 PM,TH 05:00 PM,FR 05:00 PM,SA 03:30 PM,,41.06928531,-73.4966428509
0690200055,USPS COLLECTION BOX - BLUE BOX,810 E MAIN ST,STAMFORD,CT,06902,MO 12:00 PM,TU 12:00 PM,WE 12:00 PM,TH 12:00 PM,FR 12:00 PM,SA 12:00 PM,,41.055287579,-73.527742904
0690100041,USPS COLLECTION BOX - BLUE BOX,84 W PARK PL,STAMFORD,CT,06901,MO 01:00 PM,TU 01:00 PM,WE 01:00 PM,TH 01:00 PM,FR 01:00 PM,SA 12:00 PM,,41.053288147,-73.541321319
2120100161,USPS COLLECTION BOX - BLUE BOX,200 W MONUMENT ST,BALTIMORE,MD,21201,MO 04:00 PM,TU 04:00 PM,WE 04:00 PM,TH 04:00 PM,FR 04:00 PM,SA 04:00 PM,,39.2974923241,-76.618452688
2120100026,USPS COLLECTION BOX - BLUE BOX,99 W PRESTON ST,BALTIMORE,MD,21201,MO 09:00 AM,TU 09:00 AM,WE 09:00 AM,TH 09:00 AM,FR 09:00 AM,SA 09:00 AM,,39.30433265,-76.618574914
8730100013,USPS COLLECTION BOX - BLUE BOX,1900 E HIGHWAY 66,GALLUP,NM,87301,MO 03:30 PM,TU 03:30 PM,WE 03:30 PM,TH 03:30 PM,FR 03:30 PM,SA 03:30 PM,,35.5188582817,-108.7717027635
8730100044,USPS COLLECTION BOX - BLUE BOX,1900 E HIGHWAY 66,GALLUP,NM,87301,MO 03:30 PM,TU 03:30 PM,WE 03:30 PM,TH 03:30 PM,FR 03:30 PM,SA 03:30 PM,,35.5188582817,-108.7717027635
6310300161,USPS COLLECTION BOX - BLUE BOX,700 SAINT LOUIS UNION STA,SAINT LOUIS,MO,63103,MO 05:30 PM,TU 05:30 PM,WE 05:30 PM,TH 05:30 PM,FR 05:30 PM,SA 01:00 PM,,38.6296020426,-90.2081060828
6310300133,USPS COLLECTION BOX - BLUE BOX,2000 MARKET ST,SAINT LOUIS,MO,63103,MO 01:00 PM,TU 01:00 PM,WE 01:00 PM,TH 01:00 PM,FR 01:00 PM,SA 01:00 PM,,38.629674,-90.2095515
6310400048,USPS COLLECTION BOX - BLUE BOX,1500 S GRAND BLVD,SAINT LOUIS,MO,63104,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,38.620422,-90.23823
4883600018,USPS COLLECTION BOX - BLUE BOX,6995 FOWLERVILLE RD,FOWLERVILLE,MI,48836,MO 12:00 PM,TU 12:00 PM,WE 12:00 PM,TH 12:00 PM,FR 12:00 PM,,,42.6996901962,-84.0754131267
6333600001,USPS COLLECTION BOX - BLUE BOX,309 S 1ST ST,CLARKSVILLE,MO,63336,MO 02:45 PM,TU 02:45 PM,WE 02:45 PM,TH 02:45 PM,FR 02:45 PM,SA 09:30 AM,,39.369697194,-90.902974416
6333600002,USPS COLLECTION BOX - PO LOBBY,309 S 1ST ST,CLARKSVILLE,MO,63336,MO 02:45 PM,TU 02:45 PM,WE 02:45 PM,TH 02:45 PM,FR 02:45 PM,SA 09:30 AM,,39.369697194,-90.902974416
6333600005,USPS COLLECTION BOX - PO LOBBY,309 S 1ST ST,CLARKSVILLE,MO,63336,MO 02:45 PM,TU 02:45 PM,WE 02:45 PM,TH 02:45 PM,FR 02:45 PM,,,39.369697194,-90.902974416
4901000043,USPS COLLECTION BOX - BLUE BOX,515 EASTERN AVE,ALLEGAN,MI,49010,MO 02:30 PM,TU 02:30 PM,WE 02:30 PM,TH 02:30 PM,FR 02:30 PM,SA 12:30 PM,,42.528015,-85.836437954
8020200412,USPS COLLECTION BOX - BLUE BOX,1234 15TH ST,DENVER,CO,80202,MO 04:30 PM,TU 04:30 PM,WE 04:30 PM,TH 04:30 PM,FR 04:30 PM,SA 10:30 AM,,39.747761801,-104.998093914
8020200413,USPS COLLECTION BOX - BLUE BOX,1234 15TH ST,DENVER,CO,80202,MO 04:30 PM,TU 04:30 PM,WE 04:30 PM,TH 04:30 PM,FR 04:30 PM,SA 10:30 AM,,39.747761801,-104.998093914
5987000008,USPS COLLECTION BOX - BLUE BOX,220 MAIN ST,STEVENSVILLE,MT,59870,MO 02:00 PM,TU 02:00 PM,WE 02:00 PM,TH 02:00 PM,FR 02:00 PM,SA 02:00 PM,,46.5101658651,-114.0933839003
7709200069,USPS COLLECTION BOX - BLUE BOX,4700 SHERWOOD LN,HOUSTON,TX,77092,MO 01:30 PM,TU 01:30 PM,WE 01:30 PM,TH 01:30 PM,FR 01:30 PM,,,29.814186036,-95.459407536
5902800004,USPS COLLECTION BOX - BLUE BOX,1997 NYE RD,FISHTAIL,MT,59028,MO 01:30 PM,TU 01:30 PM,WE 01:30 PM,TH 01:30 PM,FR 01:30 PM,SA 01:30 PM,,45.435466478,-109.802470416
1137900024,USPS COLLECTION BOX - BLUE BOX,7825 METROPOLITAN AVE,FLUSHING,NY,11379,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 12:00 PM,,40.713221933,-73.874457728
0648800011,USPS COLLECTION BOX - BLUE BOX,1 DEPOT HILL RD,SOUTHBURY,CT,06488,MO 12:00 PM,TU 12:00 PM,WE 12:00 PM,TH 12:00 PM,FR 12:00 PM,SA 12:00 PM,,41.476162849,-73.218225534
